officialId,canonicalId,subject,grade,gradeName,domainCode,domain,strand,clusterCode,parentId,sourceItem,statement,isLeaf,instructionalStatus,active
K.L.1,CCSS.ELA-LITERACY.L.K.1,ela,K,Kindergarten,L,Language,Language,,,1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,False,broadStandard,True
K.L.1.a,CCSS.ELA-LITERACY.L.K.1.a,ela,K,Kindergarten,L,Language,Language,,K.L.1,1a,Print many upper- and lowercase letters.,True,assessable,True
K.L.1.b,CCSS.ELA-LITERACY.L.K.1.b,ela,K,Kindergarten,L,Language,Language,,K.L.1,1b,Use frequently occurring nouns and verbs.,True,assessable,True
K.L.1.c,CCSS.ELA-LITERACY.L.K.1.c,ela,K,Kindergarten,L,Language,Language,,K.L.1,1c,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes).",True,assessable,True
K.L.1.d,CCSS.ELA-LITERACY.L.K.1.d,ela,K,Kindergarten,L,Language,Language,,K.L.1,1d,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how).",True,assessable,True
K.L.1.e,CCSS.ELA-LITERACY.L.K.1.e,ela,K,Kindergarten,L,Language,Language,,K.L.1,1e,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with).",True,assessable,True
K.L.1.f,CCSS.ELA-LITERACY.L.K.1.f,ela,K,Kindergarten,L,Language,Language,,K.L.1,1f,Produce and expand complete sentences in shared language activities.,True,assessable,True
K.L.2,CCSS.ELA-LITERACY.L.K.2,ela,K,Kindergarten,L,Language,Language,,,2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",False,broadStandard,True
K.L.2.a,CCSS.ELA-LITERACY.L.K.2.a,ela,K,Kindergarten,L,Language,Language,,K.L.2,2a,Capitalize the first word in a sentence and the pronoun I,True,assessable,True
K.L.2.b,CCSS.ELA-LITERACY.L.K.2.b,ela,K,Kindergarten,L,Language,Language,,K.L.2,2b,Recognize and name end punctuation.,True,assessable,True
K.L.2.c,CCSS.ELA-LITERACY.L.K.2.c,ela,K,Kindergarten,L,Language,Language,,K.L.2,2c,Write a letter or letters for most consonant and short-vowel sounds (phonemes).,True,assessable,True
K.L.2.d,CCSS.ELA-LITERACY.L.K.2.d,ela,K,Kindergarten,L,Language,Language,,K.L.2,2d,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships.",True,assessable,True
K.L.3,CCSS.ELA-LITERACY.L.K.3,ela,K,Kindergarten,L,Language,Language,,,3,(Begins in grade 2),True,notApplicableAtGrade,False
K.L.4,CCSS.ELA-LITERACY.L.K.4,ela,K,Kindergarten,L,Language,Language,,,4,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.,False,broadStandard,True
K.L.4.a,CCSS.ELA-LITERACY.L.K.4.a,ela,K,Kindergarten,L,Language,Language,,K.L.4,4a,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck).",True,assessable,True
K.L.4.b,CCSS.ELA-LITERACY.L.K.4.b,ela,K,Kindergarten,L,Language,Language,,K.L.4,4b,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re, un, pre, -ful, -less) as a clue to the meaning of an unknown word.",True,assessable,True
K.L.5,CCSS.ELA-LITERACY.L.K.5,ela,K,Kindergarten,L,Language,Language,,,5,"With guidance and support from adults, explore word relationships and nuances in word meanings.",False,broadStandard,True
K.L.5.a,CCSS.ELA-LITERACY.L.K.5.a,ela,K,Kindergarten,L,Language,Language,,K.L.5,5a,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.",True,assessable,True
K.L.5.b,CCSS.ELA-LITERACY.L.K.5.b,ela,K,Kindergarten,L,Language,Language,,K.L.5,5b,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).,True,assessable,True
K.L.5.c,CCSS.ELA-LITERACY.L.K.5.c,ela,K,Kindergarten,L,Language,Language,,K.L.5,5c,"Identify real-life connections between words and their use (e.g., note places at school that are colorful).",True,assessable,True
K.L.5.d,CCSS.ELA-LITERACY.L.K.5.d,ela,K,Kindergarten,L,Language,Language,,K.L.5,5d,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings.",True,assessable,True
